"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"05.01.2023 13:00 - 05.01.2023 14:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 14:00 - 05.01.2023 15:00","91.00","","","","91.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 15:00 - 05.01.2023 16:00","135.00","","","","135.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 16:00 - 05.01.2023 17:00","172.73","","","","172.73","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 17:00 - 05.01.2023 18:00","139.00","","","","139.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 18:00 - 05.01.2023 19:00","135.00","","","","135.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 19:00 - 05.01.2023 20:00","133.50","","","","133.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 20:00 - 05.01.2023 21:00","126.00","","","","126.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 21:00 - 05.01.2023 22:00","121.41","","","","121.41","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 22:00 - 05.01.2023 23:00","124.00","","","","124.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 23:00 - 06.01.2023 00:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 00:00 - 06.01.2023 01:00","107.21","","","","107.21","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 01:00 - 06.01.2023 02:00","101.10","","","","101.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 02:00 - 06.01.2023 03:00","80.67","","","","80.67","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 03:00 - 06.01.2023 04:00","82.34","","","","82.34","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 04:00 - 06.01.2023 05:00","65.00","","","","65.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 05:00 - 06.01.2023 06:00","60.00","","","","60.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 06:00 - 06.01.2023 07:00","72.00","","","","72.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 07:00 - 06.01.2023 08:00","80.00","","","","80.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 08:00 - 06.01.2023 09:00","99.00","","","","99.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 09:00 - 06.01.2023 10:00","102.57","","","","102.57","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 10:00 - 06.01.2023 11:00","110.14","","","","110.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 11:00 - 06.01.2023 12:00","110.65","","","","110.65","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 12:00 - 06.01.2023 13:00","110.00","","","","110.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 13:00 - 06.01.2023 14:00","101.09","","","","101.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 14:00 - 06.01.2023 15:00","113.06","","","","113.06","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 15:00 - 06.01.2023 16:00","122.81","","","","122.81","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 16:00 - 06.01.2023 17:00","135.62","","","","135.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 17:00 - 06.01.2023 18:00","120.50","","","","120.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 18:00 - 06.01.2023 19:00","120.00","","","","120.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 19:00 - 06.01.2023 20:00","112.00","","","","112.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 20:00 - 06.01.2023 21:00","107.22","","","","107.22","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 21:00 - 06.01.2023 22:00","101.02","","","","101.02","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 22:00 - 06.01.2023 23:00","74.25","","","","74.25","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2023 23:00 - 07.01.2023 00:00","94.80","","","","94.80","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 00:00 - 07.01.2023 01:00","71.67","","","","71.67","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 01:00 - 07.01.2023 02:00","69.93","","","","69.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 02:00 - 07.01.2023 03:00","96.05","","","","96.05","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 03:00 - 07.01.2023 04:00","34.15","","","","34.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 04:00 - 07.01.2023 05:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 05:00 - 07.01.2023 06:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 06:00 - 07.01.2023 07:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
